#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2012 01 02 12 20 160  5.4 999 99.0 9999
2012 01 02 12 30 164  4.7 999 99.0 9999
2012 01 02 12 40 162  4.6 999 99.0 9999
2012 01 02 12 50 160  4.6 149  7.4 1211
2012 01 02 13 00 164  5.2 999 99.0 9999
2012 01 02 13 10 164  4.9 999 99.0 9999
2012 01 02 13 20 157  6.0 999 99.0 9999
2012 01 02 13 30 159  4.9 999 99.0 9999
2012 01 02 13 40 165  4.9 999 99.0 9999
2012 01 02 13 50 164  5.1 156  8.5 1312
2012 01 02 14 00 161  4.9 999 99.0 9999
2012 01 02 14 10 163  4.5 999 99.0 9999
2012 01 02 14 20 164  4.8 999 99.0 9999
2012 01 02 14 30 163  5.1 999 99.0 9999
2012 01 02 14 40 162  5.0 999 99.0 9999
2012 01 02 14 50 162  5.3 160  7.5 1444
2012 01 02 15 00 161  5.0 999 99.0 9999
2012 01 02 15 10 166  4.7 999 99.0 9999
2012 01 02 15 20 169  5.0 999 99.0 9999
2012 01 02 15 30 170  5.0 999 99.0 9999
2012 01 02 15 40 168  5.4 999 99.0 9999
2012 01 02 15 50 166  5.8 163  8.0 1547
2012 01 02 16 00 169  5.5 999 99.0 9999
2012 01 02 16 10 169  5.8 999 99.0 9999
2012 01 02 16 20 175  5.4 999 99.0 9999
2012 01 02 16 30 170  5.6 999 99.0 9999
2012 01 02 16 40 178  5.9 999 99.0 9999
2012 01 02 16 50 175  5.3 175  7.6 1605
2012 01 02 17 00 172  5.4 999 99.0 9999
2012 01 02 17 10 166  5.5 999 99.0 9999
2012 01 02 17 20 163  6.0 999 99.0 9999
2012 01 02 17 30 165  5.4 999 99.0 9999
2012 01 02 17 40 164  5.3 999 99.0 9999
2012 01 02 17 50 167  5.1 159  7.7 1717
2012 01 02 18 00 168  5.3 999 99.0 9999
2012 01 02 18 10 165  5.2 999 99.0 9999
2012 01 02 18 20 166  5.2 999 99.0 9999
2012 01 02 18 30 168  5.1 999 99.0 9999
2012 01 02 18 40 163  5.4 999 99.0 9999
